scenarios;tot_cap;tot_oil;tot_gas;W1_indiv_cap;W2_indiv_cap;W3_indiv_cap;W4_indiv_cap;W5_indiv_cap;W6_indiv_cap;W7_indiv_cap;W1_choke;W2_choke;W3_choke;W4_choke;W5_choke;W6_choke;W7_choke;W1_gas_mean;W2_gas_mean;W3_gas_mean;W4_gas_mean;W5_gas_mean;W6_gas_mean;W7_gas_mean;W1_oil_mean;W2_oil_mean;W3_oil_mean;W4_oil_mean;W5_oil_mean;W6_oil_mean;W7_oil_mean;W1_changed;W2_changed;W3_changed;W4_changed;W5_changed;W6_changed;W7_changed
10.0;250000.0;141.55614627328612;245853.5355665569;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;31.79866268473813;56.622048260038554;40.0;47.84;62.6;50.34;40126.30910182416;11258.780899664447;44738.667234627355;22709.663280472967;37201.030877294645;46944.922868974856;42874.16130369851;28.75333298712431;7.987672554371233;23.3844061522011;16.58163070678711;21.559025160000004;24.754239660723677;18.535839052078693;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;132.75153994559568;244424.91149445705;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;47.067;59.03330855230335;30.0;47.84;37.67072236131839;50.34;39803.9934729652;51367.37950766914;47535.07649588717;4413.299713909933;37772.067656818646;21803.24913601027;41729.84551119666;28.753332987124306;12.5977676976;24.69101904491031;11.789257049560547;21.559025159999997;14.825298954321825;18.535839052078696;0.0;0.0;1.0;1.0;0.0;1.0;0.0
10.0;250000.0;141.49166680278975;235847.92484474886;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;62.852870010601535;34.03622083594637;47.84;62.6;50.34;38930.77961285107;5338.269796417283;49738.510931126984;12819.863530663559;39147.9221693107;47522.21387173952;42350.36493263976;28.75333298712431;7.1296215;27.036043552408678;13.72356489045438;21.559025160000004;24.754239660723677;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;133.6273052946075;242657.091492673;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;47.06700000000001;40.0;30.0;47.84;55.61224139546294;50.34;39700.84464189256;51570.19728098342;24010.392570650212;4865.03266922672;38921.35189906134;41637.712698837146;41951.55973202161;28.753332987124306;12.597767697600004;18.38467788696289;11.789257049560547;21.559025160000004;22.007405461281053;18.535839052078693;0.0;2.220446049250313e-16;1.0;1.0;0.0;1.0;0.0
10.0;250000.0;139.53541082070632;234167.23102113814;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;57.162555625610274;36.96272777015907;47.84;62.6;50.34;40141.47163201179;5090.928264882367;45980.6695140069;17711.320746370326;34570.720247870995;49023.89722547318;41648.223390522595;28.753332987124306;7.1296215;23.67729609640408;15.126056364375565;21.559025159999997;24.754239660723677;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;142.92246939704415;233725.5826371815;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;65.71073751969772;33.214954005714226;47.84;62.6;50.34;39483.78514867403;5648.548559858249;48996.436220920186;10805.067110069323;40361.19364299218;45984.810460026594;42445.741494640955;28.753332987124306;7.1296215;28.86042789893894;13.329983138178534;21.559025160000004;24.754239660723673;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;142.21465476392675;232565.38039568265;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;65.71073751969772;31.737993560340637;47.84;62.6;50.34;40071.55094256692;4591.244812535936;50104.40743918746;7553.5469165713785;40625.51641693326;48075.2845784107;41543.82928947701;28.753332987124306;7.1296215;28.86042789893894;12.622168505061135;21.559025160000004;24.754239660723673;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;138.93095754252428;235951.93968109298;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.00000000000018;56.90280824079044;35.99514575683343;47.84;62.60000000000081;50.34;39992.29553447402;4322.569729943211;45309.31218226588;16349.988352785309;39020.96792823456;49243.84016507528;41712.965788314716;28.753332987124306;7.129621500000033;23.536544273408513;14.66235490918876;21.55902515999999;24.754239660723993;18.535839052078693;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;140.34400933374238;244310.87918176333;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.065674479406457;55.910790959607596;40.0;47.84;62.6;50.34;39860.10620505143;5843.236946990132;46809.31330789165;23427.47756171201;39469.17229513149;48035.35550006152;40866.217364925105;28.75333298712431;7.160951474640685;22.99899029238792;16.58163070678711;21.559025160000004;24.754239660723673;18.535839052078696;0.0;0.9999999999999998;1.0000000000000002;1.0;0.0;0.0;0.0
10.0;250000.0;139.7730579950374;235801.36161890737;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;57.69111427199088;36.860966084740035;47.84;62.6;50.34;39834.49380827488;3659.098498395758;46642.48845002633;17215.731071014656;40807.06209668499;47942.09258248843;39700.395112022314;28.753332987124306;7.1296215;23.963711272786863;15.077288362323849;21.55902516;24.754239660723677;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;143.8454347651382;244327.55260722517;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;65.71073751969772;35.14085844077906;47.84;62.6;50.34;39872.90055260046;4539.523906465103;48539.447511381775;15036.330105000201;44169.90118174472;49313.705834609515;42855.74351542342;28.75333298712431;7.1296215;28.86042789893894;14.25294850627259;21.559025160000004;24.754239660723673;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;143.8901560246354;237445.25631447838;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.000000000000128;65.71073751969784;35.23417599632819;47.84;62.60000000000004;50.34;39837.09046033148;5108.37703211063;48502.0696141736;14470.72252671568;41642.23273824244;46611.97904910792;41272.784893796634;28.753332987124306;7.129621500000022;28.860427898939022;14.297669765769628;21.559025160000004;24.75423966072369;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;138.12872549207893;241962.39104792458;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;34.65746131244116;41.47741846465995;40.0;47.84;62.6;50.34;40576.473166022624;20514.56955591404;24725.89975086791;23393.631155632018;41450.24340049025;47791.03276382516;43510.541255172575;28.75333298712431;9.35146088308322;18.593197042281922;16.58163070678711;21.559025160000004;24.754239660723673;18.535839052078696;0.0;1.0;1.0;1.0;8.326672684688674e-17;0.0;0.0
10.0;250000.0;146.2151911993844;243367.50320537726;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.086100577746535;65.71073751969772;40.0;47.84;62.6;50.34;39259.75279845399;4233.31959079491;49652.76439926537;22729.551647898636;38048.71653731048;47691.766234421964;41751.6319972319;28.753332987124306;7.17069573373168;28.860427898938944;16.58163070678711;21.55902516000001;24.754239660723677;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;139.92357632988836;236163.78442322294;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;59.514003514273696;35.11388141063777;47.84;62.6;50.34;39910.10463392798;3219.1921872515695;48946.27507424133;14686.649338629612;38546.49449930883;47126.639579890485;43728.42910997314;28.753332987124306;7.1296215;24.951497864549008;14.240020105412654;21.55902516;24.754239660723677;18.535839052078696;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;143.18241723542383;240935.3797111231;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;63.173832526916186;37.13668181627877;47.84;62.6;50.34;39961.15185398449;3521.7412187587047;50614.841961052865;17956.429084114785;37007.923192494476;49906.85615904447;41966.43624167327;28.753332987124306;7.1296215;27.240937232302393;15.209421643194766;21.559025160000004;24.754239660723673;18.5358390520787;0.0;1.0;1.0;1.0;0.0;0.0;0.0
10.0;250000.0;144.3779816058985;236965.72896672488;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;65.71073751969772;36.25209658465217;47.84;62.6;50.34;40208.90487400556;4204.155524368213;46455.43751543759;16499.977176157143;40104.75164719568;48265.79105168526;41226.71117787545;28.75333298712431;7.1296215;28.860427898938944;14.785495347032871;21.55902516;24.754239660723677;18.535839052078693;0.0;1.0;1.0;1.0;0.0;0.0;1.1102230246251565e-16
10.0;250000.0;138.6867826633023;235274.6637716586;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;56.36189385717566;36.09725720155322;47.84;62.6;50.34;39806.37947889535;3894.6796802800977;44313.542610801516;15891.32916195341;39379.212041531035;48674.08108764754;43315.43971054965;28.753332987124306;7.1296215;23.24343377440922;14.711290528966408;21.559025159999997;24.754239660723673;18.535839052078696;0.0;1.0;1.0;1.0;3.469446951953614e-17;0.0;0.0
10.0;250000.0;141.60263581429388;237322.50664473829;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;59.30624263942048;38.85240641623634;47.84;62.6;50.34;40010.25570487188;5284.401956960969;44787.74111495677;20815.215630928044;38865.87105182151;47612.33022867124;39946.69095652787;28.75333298712431;7.1296215;24.838916473583215;16.03166098078399;21.559025160000008;24.754239660723673;18.5358390520787;0.0;1.0;1.0;1.0;1.3877787807814457e-17;0.0;0.0
10.0;250000.0;139.2877825733858;235139.85443147836;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.0;57.69225951708752;35.847071840630925;47.84000000000001;62.6;50.34;40114.518095894244;4525.390451735024;46503.124181172934;15044.142728875431;39571.29193306637;47778.03313072973;41603.3539100046;28.75333298712431;7.1296215;23.964331857803497;14.591392355655632;21.559025160000008;24.754239660723677;18.535839052078696;0.0;1.0;1.0000000000000002;1.0;2.220446049250313e-16;0.0;0.0
10.0;250000.0;133.08161408247955;243789.81838631054;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;47.067;36.323572220274414;30.0;47.84;60.62141449784646;50.34;40223.98991558414;51482.53750894789;21341.865679294402;5003.244599229611;38423.05384779391;45748.65095892209;41566.475876538476;28.75333298712431;12.597767697600002;15.869918485224659;11.789257049560547;21.55902516;23.97647365089133;18.535839052078696;0.0;0.0;1.0;1.0;0.0;1.0;0.0
10.0;250000.0;139.5305534397354;237562.87595639523;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;30.181911679042848;54.307285863044555;39.99999999999999;47.84;62.6;50.34;39603.334296092864;4751.529663827096;39892.316804271744;23471.953105608565;39161.96034930384;47240.39610863571;43441.38562865544;28.753332987124306;7.216402367435343;22.130083505586285;16.58163070678711;21.559025160000004;24.754239660723673;18.535839052078696;0.0;0.9999999999999998;1.0000000000000002;1.0;0.0;0.0;0.0
10.0;250000.0;128.82807888513437;233213.7378641435;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;54166.0;72.984;47.067;40.0;30.0;47.84;43.40334730454904;50.34;40370.09947032074;51413.36581076504;24597.91182980053;5126.999329188796;38964.73837519754;30888.071470471343;41852.551578399536;28.753332987124306;12.597767697600002;18.38467788696289;11.789257049560547;21.559025160000004;17.208179051807914;18.535839052078696;0.0;0.0;1.0;1.0;0.0;1.0;0.0
