;switch-off penalty
0;109.47512729608036
1;109.43548402895675
2;107.23262659554459
3;109.80273516068705
4;107.82009337329819
5;109.54378813993485
6;107.10403318623823
7;106.57197108073372
8;108.14385063126116
9;108.11700755553495
10;108.11082818534665
11;108.80294168791323
12;108.06159673199272
13;107.512406368167
14;109.35333694539024
15;107.0162653574646
16;107.98010424668415
17;107.21636870496042
18;109.56175766544672
19;107.07271127141192
20;108.42804047759267
21;108.69017542669191
22;107.63650792169592
23;108.78478793143832
24;108.51371164649949
25;107.45267703995457
26;108.06939838626042
27;110.13133371252184
28;107.67493394853632
29;107.87083611461695
30;109.6753322441468
31;108.1527399735972
32;108.82449990546314
33;109.2994064619048
34;110.3899257498954
35;107.28211865431757
36;108.74687776439684
37;108.43738872291786
38;110.1349715248568
39;108.85649486511349
40;108.1331066759351
41;108.31425885765695
42;107.09899764382256
43;109.68955842955263
44;108.36707523621176
45;108.09581123024981
46;108.29748461775962
47;108.76176328833016
48;106.72472999960337
49;109.14140653487073
50;107.72273523365351
51;108.78116537139485
52;107.28550645125074
53;109.2301074825028
54;107.90124610434096
55;108.03826962760387
56;108.34897987131204
57;107.11392285699459
58;107.53538520862152
59;108.99613709304512
60;107.42761151267382
61;109.07264719323437
62;107.00894375518719
63;109.2441644407066
64;108.17728977508709
65;109.75047173426717
66;107.71797087902904
67;107.02717537801182
68;107.80585357739908
69;109.56435122319084
70;108.02998788250301
71;108.15701509217241
72;108.27272163664415
73;108.03944391498669
74;109.61880359598663
75;107.65934631211428
76;109.04915030689078
77;108.3072430145711
78;108.2595782232045
79;108.18979215910784
80;108.53558567080908
81;108.14022297771635
82;107.54502532647496
83;108.09543584296827
84;108.72284559416694
85;108.46150993964515
86;109.10209398342035
87;107.0897730058225
88;109.05307968336729
89;108.5045488569821
90;109.6839849753068
91;108.15284004032888
92;110.05418114601179
93;108.19521775732159
94;107.89728038470858
95;108.12189788748924
96;109.32409703872392
97;109.14246224151958
98;107.36587031998293
99;109.34499928878151
100;107.27697823849351
101;107.23450515112827
102;107.55958569137421
103;108.82047796582644
104;107.90484363755509
105;108.120577104382
106;109.64717362329522
107;106.9043149399482
108;108.41231513190588
109;109.08155943221209
110;107.46667789243864
111;108.92195960824154
112;108.44026904800181
113;107.3856724751588
114;107.94129038785586
115;107.71557946852131
116;109.49421264976614
117;108.92313218659491
118;108.38316957873116
119;108.56365820309713
120;108.62699109916923
121;108.64614784335473
122;107.80515773109484
123;108.63017658316599
124;108.33153948876387
125;107.77811973983351
126;108.05986388469117
127;106.36681903600879
128;107.9139746216135
129;108.65491411299902
130;109.28215454073812
131;105.90299330535478
132;108.07586951496401
133;107.90356527725314
134;106.79456294830051
135;108.47224005969036
136;106.68296590635173
137;108.09706369455704
138;108.2105118278549
139;109.64164262426432
140;108.98139352017378
141;107.84156889275202
142;108.3591777514967
143;108.25109690384552
144;109.49917542427522
145;108.42222005294396
146;109.12341901894443
147;107.81509404744808
148;108.91430537554537
149;107.680326362318
150;108.35248282836166
151;108.01332780093144
152;108.9046851717182
153;107.43703645097469
154;107.83035447359016
155;107.57909348043465
156;108.0307585922382
157;108.06215230245635
158;107.16370507138816
159;108.42492581689899
160;107.75370928466849
161;108.65376081723574
162;108.31446087579396
163;107.5669928895826
164;109.74199358257916
165;108.692770772305
166;108.73922705846438
167;107.36594103366501
168;109.58077735712901
169;105.67061085891072
170;108.52929425859284
171;108.26272583746784
172;108.06036356741885
173;107.49508667708176
174;106.81011065194237
175;111.0091876821637
176;108.47175634650853
177;108.22297617195044
178;109.03795474772902
179;108.09458522983613
180;107.80542566243822
181;108.70167162941796
182;110.17457957254902
183;108.45756883096789
184;108.09262386495264
185;107.41441115057944
186;107.84255929503557
187;109.26915947041029
188;107.75203478229705
189;108.41079080076535
190;108.39160188632769
191;110.0532255160997
192;107.89178836725522
193;107.07006884353744
194;107.76172231795313
195;108.50739086128002
196;109.02291828370527
197;107.35339622346264
198;108.80768946275559
199;109.26641441668673
